,fase,fase_end,fase_count,wind_dir,location,windfase,windfase_end,windfase_count,windduur,windduur_end,windduur_count,opzetduur,opzetduur_end,opzetduur_count
0,-5.0,-4.8,3.0,0.0 - 22.5,hoekvanholland,,,,,,,,,
1,-4.6,-4.3999999999999995,1.0,0.0 - 22.5,hoekvanholland,,,,,,,,,
2,2.5999999999999996,2.8,6.0,0.0 - 22.5,hoekvanholland,,,,,,,,,
3,1.0,1.2,12.0,0.0 - 22.5,hoekvanholland,,,,,,,,,
4,1.6000000000000005,1.8000000000000005,7.0,0.0 - 22.5,hoekvanholland,,,,,,,,,
5,0.8000000000000007,1.0000000000000007,3.0,0.0 - 22.5,hoekvanholland,,,,,,,,,
6,3.0,3.2,7.0,0.0 - 22.5,hoekvanholland,,,,,,,,,
7,2.0,2.2,5.0,0.0 - 22.5,hoekvanholland,,,,,,,,,
8,-6.0,-5.8,1.0,0.0 - 22.5,hoekvanholland,,,,,,,,,
9,1.4000000000000004,1.6000000000000003,4.0,0.0 - 22.5,hoekvanholland,,,,,,,,,
10,2.200000000000001,2.4000000000000012,2.0,0.0 - 22.5,hoekvanholland,,,,,,,,,
11,1.8000000000000007,2.000000000000001,4.0,0.0 - 22.5,hoekvanholland,,,,,,,,,
12,1.2000000000000002,1.4000000000000001,6.0,0.0 - 22.5,hoekvanholland,,,,,,,,,
13,3.200000000000001,3.4000000000000012,2.0,0.0 - 22.5,hoekvanholland,,,,,,,,,
14,4.200000000000001,4.400000000000001,1.0,0.0 - 22.5,hoekvanholland,,,,,,,,,
15,3.6000000000000014,3.8000000000000016,2.0,0.0 - 22.5,hoekvanholland,,,,,,,,,
16,2.8000000000000007,3.000000000000001,3.0,0.0 - 22.5,hoekvanholland,,,,,,,,,
17,5.800000000000001,6.000000000000001,1.0,0.0 - 22.5,hoekvanholland,,,,,,,,,
18,,,,0.0 - 22.5,hoekvanholland,-6.0,-5.0,6.0,,,,,,
19,,,,0.0 - 22.5,hoekvanholland,-10.0,-9.0,4.0,,,,,,
20,,,,0.0 - 22.5,hoekvanholland,2.0,3.0,3.0,,,,,,
21,,,,0.0 - 22.5,hoekvanholland,-5.0,-4.0,6.0,,,,,,
22,,,,0.0 - 22.5,hoekvanholland,-8.0,-7.0,2.0,,,,,,
23,,,,0.0 - 22.5,hoekvanholland,-3.0,-2.0,1.0,,,,,,
24,,,,0.0 - 22.5,hoekvanholland,-11.0,-10.0,6.0,,,,,,
25,,,,0.0 - 22.5,hoekvanholland,-15.0,-14.0,1.0,,,,,,
26,,,,0.0 - 22.5,hoekvanholland,-18.0,-17.0,1.0,,,,,,
27,,,,0.0 - 22.5,hoekvanholland,-4.0,-3.0,3.0,,,,,,
28,,,,0.0 - 22.5,hoekvanholland,-16.0,-15.0,3.0,,,,,,
29,,,,0.0 - 22.5,hoekvanholland,4.0,5.0,1.0,,,,,,
30,,,,0.0 - 22.5,hoekvanholland,-17.0,-16.0,4.0,,,,,,
31,,,,0.0 - 22.5,hoekvanholland,0.0,1.0,3.0,,,,,,
32,,,,0.0 - 22.5,hoekvanholland,-22.0,-21.0,1.0,,,,,,
33,,,,0.0 - 22.5,hoekvanholland,-21.0,-20.0,1.0,,,,,,
34,,,,0.0 - 22.5,hoekvanholland,-14.0,-13.0,2.0,,,,,,
35,,,,0.0 - 22.5,hoekvanholland,-12.0,-11.0,3.0,,,,,,
36,,,,0.0 - 22.5,hoekvanholland,-9.0,-8.0,2.0,,,,,,
37,,,,0.0 - 22.5,hoekvanholland,18.0,19.0,1.0,,,,,,
38,,,,0.0 - 22.5,hoekvanholland,-7.0,-6.0,3.0,,,,,,
39,,,,0.0 - 22.5,hoekvanholland,12.0,13.0,1.0,,,,,,
40,,,,0.0 - 22.5,hoekvanholland,-2.0,-1.0,2.0,,,,,,
41,,,,0.0 - 22.5,hoekvanholland,-13.0,-12.0,1.0,,,,,,
42,,,,0.0 - 22.5,hoekvanholland,3.0,4.0,3.0,,,,,,
43,,,,0.0 - 22.5,hoekvanholland,-24.0,-23.0,2.0,,,,,,
44,,,,0.0 - 22.5,hoekvanholland,6.0,7.0,3.0,,,,,,
45,,,,0.0 - 22.5,hoekvanholland,1.0,2.0,1.0,,,,,,
46,,,,0.0 - 22.5,hoekvanholland,8.0,9.0,1.0,,,,,,
47,,,,0.0 - 22.5,hoekvanholland,-19.0,-18.0,1.0,,,,,,
48,,,,0.0 - 22.5,hoekvanholland,,,,20.0,21.0,4.0,,,
49,,,,0.0 - 22.5,hoekvanholland,,,,33.0,34.0,3.0,,,
50,,,,0.0 - 22.5,hoekvanholland,,,,19.0,20.0,3.0,,,
51,,,,0.0 - 22.5,hoekvanholland,,,,25.0,26.0,3.0,,,
52,,,,0.0 - 22.5,hoekvanholland,,,,37.0,38.0,3.0,,,
53,,,,0.0 - 22.5,hoekvanholland,,,,29.0,30.0,2.0,,,
54,,,,0.0 - 22.5,hoekvanholland,,,,8.0,9.0,2.0,,,
55,,,,0.0 - 22.5,hoekvanholland,,,,41.0,42.0,1.0,,,
56,,,,0.0 - 22.5,hoekvanholland,,,,35.0,36.0,4.0,,,
57,,,,0.0 - 22.5,hoekvanholland,,,,26.0,27.0,2.0,,,
58,,,,0.0 - 22.5,hoekvanholland,,,,22.0,23.0,3.0,,,
59,,,,0.0 - 22.5,hoekvanholland,,,,32.0,33.0,3.0,,,
60,,,,0.0 - 22.5,hoekvanholland,,,,48.0,49.0,3.0,,,
61,,,,0.0 - 22.5,hoekvanholland,,,,50.0,51.0,1.0,,,
62,,,,0.0 - 22.5,hoekvanholland,,,,23.0,24.0,1.0,,,
63,,,,0.0 - 22.5,hoekvanholland,,,,21.0,22.0,3.0,,,
64,,,,0.0 - 22.5,hoekvanholland,,,,39.0,40.0,1.0,,,
65,,,,0.0 - 22.5,hoekvanholland,,,,30.0,31.0,1.0,,,
66,,,,0.0 - 22.5,hoekvanholland,,,,11.0,12.0,3.0,,,
67,,,,0.0 - 22.5,hoekvanholland,,,,31.0,32.0,1.0,,,
68,,,,0.0 - 22.5,hoekvanholland,,,,53.0,54.0,1.0,,,
69,,,,0.0 - 22.5,hoekvanholland,,,,36.0,37.0,2.0,,,
70,,,,0.0 - 22.5,hoekvanholland,,,,24.0,25.0,3.0,,,
71,,,,0.0 - 22.5,hoekvanholland,,,,16.0,17.0,3.0,,,
72,,,,0.0 - 22.5,hoekvanholland,,,,13.0,14.0,2.0,,,
73,,,,0.0 - 22.5,hoekvanholland,,,,47.0,48.0,1.0,,,
74,,,,0.0 - 22.5,hoekvanholland,,,,40.0,41.0,3.0,,,
75,,,,0.0 - 22.5,hoekvanholland,,,,10.0,11.0,1.0,,,
76,,,,0.0 - 22.5,hoekvanholland,,,,46.0,47.0,1.0,,,
77,,,,0.0 - 22.5,hoekvanholland,,,,56.0,57.0,2.0,,,
78,,,,0.0 - 22.5,hoekvanholland,,,,12.0,13.0,1.0,,,
79,,,,0.0 - 22.5,hoekvanholland,,,,15.0,16.0,1.0,,,
80,,,,0.0 - 22.5,hoekvanholland,,,,14.0,15.0,1.0,,,
81,,,,0.0 - 22.5,hoekvanholland,,,,17.0,18.0,1.0,,,
82,,,,0.0 - 22.5,hoekvanholland,,,,42.0,43.0,1.0,,,
83,,,,0.0 - 22.5,hoekvanholland,,,,27.0,28.0,1.0,,,
84,,,,0.0 - 22.5,hoekvanholland,,,,,,,7.0,8.0,10.0
85,,,,0.0 - 22.5,hoekvanholland,,,,,,,15.0,16.0,1.0
86,,,,0.0 - 22.5,hoekvanholland,,,,,,,2.0,3.0,4.0
87,,,,0.0 - 22.5,hoekvanholland,,,,,,,6.0,7.0,3.0
88,,,,0.0 - 22.5,hoekvanholland,,,,,,,5.0,6.0,5.0
89,,,,0.0 - 22.5,hoekvanholland,,,,,,,1.0,2.0,4.0
90,,,,0.0 - 22.5,hoekvanholland,,,,,,,8.0,9.0,4.0
91,,,,0.0 - 22.5,hoekvanholland,,,,,,,3.0,4.0,3.0
92,,,,0.0 - 22.5,hoekvanholland,,,,,,,14.0,15.0,1.0
93,,,,0.0 - 22.5,hoekvanholland,,,,,,,10.0,11.0,1.0
94,,,,0.0 - 22.5,hoekvanholland,,,,,,,4.0,5.0,3.0
95,,,,0.0 - 22.5,hoekvanholland,,,,,,,11.0,12.0,3.0
96,,,,0.0 - 22.5,hoekvanholland,,,,,,,13.0,14.0,3.0
97,,,,0.0 - 22.5,hoekvanholland,,,,,,,9.0,10.0,2.0
98,,,,0.0 - 22.5,hoekvanholland,,,,,,,12.0,13.0,2.0
99,1.0,1.2,2.0,22.5 - 45.0,hoekvanholland,,,,,,,,,
100,1.2000000000000002,1.4000000000000001,2.0,22.5 - 45.0,hoekvanholland,,,,,,,,,
101,2.0,2.2,2.0,22.5 - 45.0,hoekvanholland,,,,,,,,,
102,2.8000000000000007,3.000000000000001,1.0,22.5 - 45.0,hoekvanholland,,,,,,,,,
103,3.200000000000001,3.4000000000000012,1.0,22.5 - 45.0,hoekvanholland,,,,,,,,,
104,2.5999999999999996,2.8,1.0,22.5 - 45.0,hoekvanholland,,,,,,,,,
105,2.200000000000001,2.4000000000000012,1.0,22.5 - 45.0,hoekvanholland,,,,,,,,,
106,1.6000000000000005,1.8000000000000005,1.0,22.5 - 45.0,hoekvanholland,,,,,,,,,
107,,,,22.5 - 45.0,hoekvanholland,-12.0,-11.0,3.0,,,,,,
108,,,,22.5 - 45.0,hoekvanholland,-11.0,-10.0,1.0,,,,,,
109,,,,22.5 - 45.0,hoekvanholland,-5.0,-4.0,1.0,,,,,,
110,,,,22.5 - 45.0,hoekvanholland,15.0,16.0,1.0,,,,,,
111,,,,22.5 - 45.0,hoekvanholland,3.0,4.0,1.0,,,,,,
112,,,,22.5 - 45.0,hoekvanholland,-7.0,-6.0,1.0,,,,,,
113,,,,22.5 - 45.0,hoekvanholland,4.0,5.0,1.0,,,,,,
114,,,,22.5 - 45.0,hoekvanholland,18.0,19.0,1.0,,,,,,
115,,,,22.5 - 45.0,hoekvanholland,-24.0,-23.0,1.0,,,,,,
116,,,,22.5 - 45.0,hoekvanholland,-14.0,-13.0,1.0,,,,,,
117,,,,22.5 - 45.0,hoekvanholland,,,,28.0,29.0,1.0,,,
118,,,,22.5 - 45.0,hoekvanholland,,,,38.0,39.0,1.0,,,
119,,,,22.5 - 45.0,hoekvanholland,,,,19.0,20.0,1.0,,,
120,,,,22.5 - 45.0,hoekvanholland,,,,37.0,38.0,2.0,,,
121,,,,22.5 - 45.0,hoekvanholland,,,,20.0,21.0,1.0,,,
122,,,,22.5 - 45.0,hoekvanholland,,,,23.0,24.0,1.0,,,
123,,,,22.5 - 45.0,hoekvanholland,,,,17.0,18.0,1.0,,,
124,,,,22.5 - 45.0,hoekvanholland,,,,43.0,44.0,1.0,,,
125,,,,22.5 - 45.0,hoekvanholland,,,,18.0,19.0,1.0,,,
126,,,,22.5 - 45.0,hoekvanholland,,,,34.0,35.0,1.0,,,
127,,,,22.5 - 45.0,hoekvanholland,,,,45.0,46.0,1.0,,,
128,2.200000000000001,2.4000000000000012,1.0,45.0 - 67.5,hoekvanholland,,,,,,,,,
129,,,,45.0 - 67.5,hoekvanholland,-5.0,-4.0,1.0,,,,,,
130,,,,45.0 - 67.5,hoekvanholland,,,,30.0,31.0,1.0,,,
131,2.5999999999999996,2.8,1.0,67.5 - 90.0,hoekvanholland,,,,,,,,,
132,,,,67.5 - 90.0,hoekvanholland,22.0,23.0,1.0,,,,,,
133,,,,67.5 - 90.0,hoekvanholland,,,,18.0,19.0,1.0,,,
134,1.0,1.2,2.0,90.0 - 112.5,hoekvanholland,,,,,,,,,
135,,,,90.0 - 112.5,hoekvanholland,8.0,9.0,1.0,,,,,,
136,,,,90.0 - 112.5,hoekvanholland,9.0,10.0,1.0,,,,,,
137,,,,90.0 - 112.5,hoekvanholland,,,,11.0,12.0,1.0,,,
138,,,,90.0 - 112.5,hoekvanholland,,,,29.0,30.0,1.0,,,
139,1.0,1.2,8.0,112.5 - 135.0,hoekvanholland,,,,,,,,,
140,1.2000000000000002,1.4000000000000001,1.0,112.5 - 135.0,hoekvanholland,,,,,,,,,
141,-5.2,-5.0,1.0,112.5 - 135.0,hoekvanholland,,,,,,,,,
142,,,,112.5 - 135.0,hoekvanholland,10.0,11.0,1.0,,,,,,
143,,,,112.5 - 135.0,hoekvanholland,7.0,8.0,3.0,,,,,,
144,,,,112.5 - 135.0,hoekvanholland,11.0,12.0,1.0,,,,,,
145,,,,112.5 - 135.0,hoekvanholland,12.0,13.0,2.0,,,,,,
146,,,,112.5 - 135.0,hoekvanholland,8.0,9.0,1.0,,,,,,
147,,,,112.5 - 135.0,hoekvanholland,13.0,14.0,1.0,,,,,,
148,,,,112.5 - 135.0,hoekvanholland,14.0,15.0,1.0,,,,,,
149,,,,112.5 - 135.0,hoekvanholland,,,,19.0,20.0,1.0,,,
150,,,,112.5 - 135.0,hoekvanholland,,,,31.0,32.0,1.0,,,
151,,,,112.5 - 135.0,hoekvanholland,,,,9.0,10.0,1.0,,,
152,,,,112.5 - 135.0,hoekvanholland,,,,33.0,34.0,1.0,,,
153,,,,112.5 - 135.0,hoekvanholland,,,,15.0,16.0,1.0,,,
154,,,,112.5 - 135.0,hoekvanholland,,,,38.0,39.0,1.0,,,
155,,,,112.5 - 135.0,hoekvanholland,,,,14.0,15.0,1.0,,,
156,,,,112.5 - 135.0,hoekvanholland,,,,55.0,56.0,1.0,,,
157,,,,112.5 - 135.0,hoekvanholland,,,,46.0,47.0,1.0,,,
158,,,,112.5 - 135.0,hoekvanholland,,,,12.0,13.0,1.0,,,
159,1.0,1.2,4.0,135.0 - 157.5,hoekvanholland,,,,,,,,,
160,1.2000000000000002,1.4000000000000001,11.0,135.0 - 157.5,hoekvanholland,,,,,,,,,
161,2.5999999999999996,2.8,1.0,135.0 - 157.5,hoekvanholland,,,,,,,,,
162,1.4000000000000004,1.6000000000000003,2.0,135.0 - 157.5,hoekvanholland,,,,,,,,,
163,1.6000000000000005,1.8000000000000005,2.0,135.0 - 157.5,hoekvanholland,,,,,,,,,
164,,,,135.0 - 157.5,hoekvanholland,22.0,23.0,1.0,,,,,,
165,,,,135.0 - 157.5,hoekvanholland,16.0,17.0,3.0,,,,,,
166,,,,135.0 - 157.5,hoekvanholland,23.0,24.0,3.0,,,,,,
167,,,,135.0 - 157.5,hoekvanholland,15.0,16.0,2.0,,,,,,
168,,,,135.0 - 157.5,hoekvanholland,21.0,22.0,2.0,,,,,,
169,,,,135.0 - 157.5,hoekvanholland,9.0,10.0,1.0,,,,,,
170,,,,135.0 - 157.5,hoekvanholland,14.0,15.0,2.0,,,,,,
171,,,,135.0 - 157.5,hoekvanholland,20.0,21.0,1.0,,,,,,
172,,,,135.0 - 157.5,hoekvanholland,12.0,13.0,2.0,,,,,,
173,,,,135.0 - 157.5,hoekvanholland,5.0,6.0,1.0,,,,,,
174,,,,135.0 - 157.5,hoekvanholland,18.0,19.0,1.0,,,,,,
175,,,,135.0 - 157.5,hoekvanholland,11.0,12.0,1.0,,,,,,
176,,,,135.0 - 157.5,hoekvanholland,,,,26.0,27.0,1.0,,,
177,,,,135.0 - 157.5,hoekvanholland,,,,16.0,17.0,2.0,,,
178,,,,135.0 - 157.5,hoekvanholland,,,,40.0,41.0,1.0,,,
179,,,,135.0 - 157.5,hoekvanholland,,,,22.0,23.0,1.0,,,
180,,,,135.0 - 157.5,hoekvanholland,,,,25.0,26.0,1.0,,,
181,,,,135.0 - 157.5,hoekvanholland,,,,20.0,21.0,2.0,,,
182,,,,135.0 - 157.5,hoekvanholland,,,,18.0,19.0,1.0,,,
183,,,,135.0 - 157.5,hoekvanholland,,,,9.0,10.0,2.0,,,
184,,,,135.0 - 157.5,hoekvanholland,,,,27.0,28.0,2.0,,,
185,,,,135.0 - 157.5,hoekvanholland,,,,28.0,29.0,1.0,,,
186,,,,135.0 - 157.5,hoekvanholland,,,,23.0,24.0,2.0,,,
187,,,,135.0 - 157.5,hoekvanholland,,,,37.0,38.0,1.0,,,
188,,,,135.0 - 157.5,hoekvanholland,,,,19.0,20.0,1.0,,,
189,,,,135.0 - 157.5,hoekvanholland,,,,30.0,31.0,1.0,,,
190,,,,135.0 - 157.5,hoekvanholland,,,,34.0,35.0,1.0,,,
191,-4.6,-4.3999999999999995,3.0,157.5 - 180.0,hoekvanholland,,,,,,,,,
192,-5.2,-5.0,4.0,157.5 - 180.0,hoekvanholland,,,,,,,,,
193,-5.6,-5.3999999999999995,4.0,157.5 - 180.0,hoekvanholland,,,,,,,,,
194,1.0,1.2,51.0,157.5 - 180.0,hoekvanholland,,,,,,,,,
195,-5.8,-5.6,1.0,157.5 - 180.0,hoekvanholland,,,,,,,,,
196,1.8000000000000007,2.000000000000001,7.0,157.5 - 180.0,hoekvanholland,,,,,,,,,
197,1.4000000000000004,1.6000000000000003,19.0,157.5 - 180.0,hoekvanholland,,,,,,,,,
198,2.4000000000000004,2.6000000000000005,2.0,157.5 - 180.0,hoekvanholland,,,,,,,,,
199,1.6000000000000005,1.8000000000000005,12.0,157.5 - 180.0,hoekvanholland,,,,,,,,,
200,2.0,2.2,10.0,157.5 - 180.0,hoekvanholland,,,,,,,,,
201,2.200000000000001,2.4000000000000012,2.0,157.5 - 180.0,hoekvanholland,,,,,,,,,
202,1.2000000000000002,1.4000000000000001,37.0,157.5 - 180.0,hoekvanholland,,,,,,,,,
203,-5.4,-5.2,3.0,157.5 - 180.0,hoekvanholland,,,,,,,,,
204,3.0,3.2,1.0,157.5 - 180.0,hoekvanholland,,,,,,,,,
205,-5.0,-4.8,1.0,157.5 - 180.0,hoekvanholland,,,,,,,,,
206,2.5999999999999996,2.8,3.0,157.5 - 180.0,hoekvanholland,,,,,,,,,
207,2.8000000000000007,3.000000000000001,1.0,157.5 - 180.0,hoekvanholland,,,,,,,,,
208,0.8000000000000007,1.0000000000000007,2.0,157.5 - 180.0,hoekvanholland,,,,,,,,,
209,,,,157.5 - 180.0,hoekvanholland,13.0,14.0,10.0,,,,,,
210,,,,157.5 - 180.0,hoekvanholland,14.0,15.0,9.0,,,,,,
211,,,,157.5 - 180.0,hoekvanholland,10.0,11.0,7.0,,,,,,
212,,,,157.5 - 180.0,hoekvanholland,17.0,18.0,6.0,,,,,,
213,,,,157.5 - 180.0,hoekvanholland,19.0,20.0,21.0,,,,,,
214,,,,157.5 - 180.0,hoekvanholland,23.0,24.0,13.0,,,,,,
215,,,,157.5 - 180.0,hoekvanholland,-24.0,-23.0,1.0,,,,,,
216,,,,157.5 - 180.0,hoekvanholland,20.0,21.0,14.0,,,,,,
217,,,,157.5 - 180.0,hoekvanholland,12.0,13.0,11.0,,,,,,
218,,,,157.5 - 180.0,hoekvanholland,21.0,22.0,13.0,,,,,,
219,,,,157.5 - 180.0,hoekvanholland,1.0,2.0,2.0,,,,,,
220,,,,157.5 - 180.0,hoekvanholland,22.0,23.0,14.0,,,,,,
221,,,,157.5 - 180.0,hoekvanholland,18.0,19.0,14.0,,,,,,
222,,,,157.5 - 180.0,hoekvanholland,16.0,17.0,6.0,,,,,,
223,,,,157.5 - 180.0,hoekvanholland,8.0,9.0,2.0,,,,,,
224,,,,157.5 - 180.0,hoekvanholland,11.0,12.0,5.0,,,,,,
225,,,,157.5 - 180.0,hoekvanholland,7.0,8.0,2.0,,,,,,
226,,,,157.5 - 180.0,hoekvanholland,15.0,16.0,5.0,,,,,,
227,,,,157.5 - 180.0,hoekvanholland,-10.0,-9.0,1.0,,,,,,
228,,,,157.5 - 180.0,hoekvanholland,-23.0,-22.0,2.0,,,,,,
229,,,,157.5 - 180.0,hoekvanholland,9.0,10.0,3.0,,,,,,
230,,,,157.5 - 180.0,hoekvanholland,3.0,4.0,1.0,,,,,,
231,,,,157.5 - 180.0,hoekvanholland,-22.0,-21.0,2.0,,,,,,
232,,,,157.5 - 180.0,hoekvanholland,5.0,6.0,1.0,,,,,,
233,,,,157.5 - 180.0,hoekvanholland,-13.0,-12.0,1.0,,,,,,
234,,,,157.5 - 180.0,hoekvanholland,,,,28.0,29.0,13.0,,,
235,,,,157.5 - 180.0,hoekvanholland,,,,24.0,25.0,9.0,,,
236,,,,157.5 - 180.0,hoekvanholland,,,,19.0,20.0,5.0,,,
237,,,,157.5 - 180.0,hoekvanholland,,,,32.0,33.0,3.0,,,
238,,,,157.5 - 180.0,hoekvanholland,,,,38.0,39.0,4.0,,,
239,,,,157.5 - 180.0,hoekvanholland,,,,48.0,49.0,2.0,,,
240,,,,157.5 - 180.0,hoekvanholland,,,,43.0,44.0,5.0,,,
241,,,,157.5 - 180.0,hoekvanholland,,,,20.0,21.0,7.0,,,
242,,,,157.5 - 180.0,hoekvanholland,,,,30.0,31.0,7.0,,,
243,,,,157.5 - 180.0,hoekvanholland,,,,42.0,43.0,3.0,,,
244,,,,157.5 - 180.0,hoekvanholland,,,,14.0,15.0,3.0,,,
245,,,,157.5 - 180.0,hoekvanholland,,,,26.0,27.0,5.0,,,
246,,,,157.5 - 180.0,hoekvanholland,,,,22.0,23.0,3.0,,,
247,,,,157.5 - 180.0,hoekvanholland,,,,18.0,19.0,5.0,,,
248,,,,157.5 - 180.0,hoekvanholland,,,,29.0,30.0,8.0,,,
249,,,,157.5 - 180.0,hoekvanholland,,,,31.0,32.0,8.0,,,
250,,,,157.5 - 180.0,hoekvanholland,,,,33.0,34.0,5.0,,,
251,,,,157.5 - 180.0,hoekvanholland,,,,46.0,47.0,2.0,,,
252,,,,157.5 - 180.0,hoekvanholland,,,,11.0,12.0,3.0,,,
253,,,,157.5 - 180.0,hoekvanholland,,,,15.0,16.0,5.0,,,
254,,,,157.5 - 180.0,hoekvanholland,,,,23.0,24.0,2.0,,,
255,,,,157.5 - 180.0,hoekvanholland,,,,35.0,36.0,2.0,,,
256,,,,157.5 - 180.0,hoekvanholland,,,,36.0,37.0,3.0,,,
257,,,,157.5 - 180.0,hoekvanholland,,,,44.0,45.0,5.0,,,
258,,,,157.5 - 180.0,hoekvanholland,,,,13.0,14.0,2.0,,,
259,,,,157.5 - 180.0,hoekvanholland,,,,50.0,51.0,2.0,,,
260,,,,157.5 - 180.0,hoekvanholland,,,,25.0,26.0,6.0,,,
261,,,,157.5 - 180.0,hoekvanholland,,,,40.0,41.0,4.0,,,
262,,,,157.5 - 180.0,hoekvanholland,,,,37.0,38.0,4.0,,,
263,,,,157.5 - 180.0,hoekvanholland,,,,16.0,17.0,2.0,,,
264,,,,157.5 - 180.0,hoekvanholland,,,,27.0,28.0,6.0,,,
265,,,,157.5 - 180.0,hoekvanholland,,,,21.0,22.0,4.0,,,
266,,,,157.5 - 180.0,hoekvanholland,,,,52.0,53.0,2.0,,,
267,,,,157.5 - 180.0,hoekvanholland,,,,45.0,46.0,2.0,,,
268,,,,157.5 - 180.0,hoekvanholland,,,,34.0,35.0,5.0,,,
269,,,,157.5 - 180.0,hoekvanholland,,,,12.0,13.0,3.0,,,
270,,,,157.5 - 180.0,hoekvanholland,,,,41.0,42.0,3.0,,,
271,,,,157.5 - 180.0,hoekvanholland,,,,17.0,18.0,2.0,,,
272,,,,157.5 - 180.0,hoekvanholland,,,,58.0,59.0,1.0,,,
273,,,,157.5 - 180.0,hoekvanholland,,,,55.0,56.0,1.0,,,
274,1.0,1.2,300.0,180.0 - 202.5,hoekvanholland,,,,,,,,,
275,1.2000000000000002,1.4000000000000001,175.0,180.0 - 202.5,hoekvanholland,,,,,,,,,
276,2.0,2.2,60.0,180.0 - 202.5,hoekvanholland,,,,,,,,,
277,2.8000000000000007,3.000000000000001,5.0,180.0 - 202.5,hoekvanholland,,,,,,,,,
278,-5.0,-4.8,39.0,180.0 - 202.5,hoekvanholland,,,,,,,,,
279,1.6000000000000005,1.8000000000000005,99.0,180.0 - 202.5,hoekvanholland,,,,,,,,,
280,1.4000000000000004,1.6000000000000003,138.0,180.0 - 202.5,hoekvanholland,,,,,,,,,
281,1.8000000000000007,2.000000000000001,68.0,180.0 - 202.5,hoekvanholland,,,,,,,,,
282,-4.2,-4.0,4.0,180.0 - 202.5,hoekvanholland,,,,,,,,,
283,-1.1999999999999993,-0.9999999999999993,1.0,180.0 - 202.5,hoekvanholland,,,,,,,,,
284,-5.4,-5.2,39.0,180.0 - 202.5,hoekvanholland,,,,,,,,,
285,-4.0,-3.8,3.0,180.0 - 202.5,hoekvanholland,,,,,,,,,
286,-5.2,-5.0,41.0,180.0 - 202.5,hoekvanholland,,,,,,,,,
287,0.8000000000000007,1.0000000000000007,3.0,180.0 - 202.5,hoekvanholland,,,,,,,,,
288,-5.6,-5.3999999999999995,16.0,180.0 - 202.5,hoekvanholland,,,,,,,,,
289,2.5999999999999996,2.8,8.0,180.0 - 202.5,hoekvanholland,,,,,,,,,
290,2.200000000000001,2.4000000000000012,22.0,180.0 - 202.5,hoekvanholland,,,,,,,,,
291,-6.0,-5.8,6.0,180.0 - 202.5,hoekvanholland,,,,,,,,,
292,-4.8,-4.6,5.0,180.0 - 202.5,hoekvanholland,,,,,,,,,
293,3.0,3.2,5.0,180.0 - 202.5,hoekvanholland,,,,,,,,,
294,-4.4,-4.2,4.0,180.0 - 202.5,hoekvanholland,,,,,,,,,
295,-3.0,-2.8,1.0,180.0 - 202.5,hoekvanholland,,,,,,,,,
296,2.4000000000000004,2.6000000000000005,12.0,180.0 - 202.5,hoekvanholland,,,,,,,,,
297,-3.4,-3.1999999999999997,1.0,180.0 - 202.5,hoekvanholland,,,,,,,,,
298,-4.6,-4.3999999999999995,5.0,180.0 - 202.5,hoekvanholland,,,,,,,,,
299,-5.8,-5.6,10.0,180.0 - 202.5,hoekvanholland,,,,,,,,,
300,3.200000000000001,3.4000000000000012,3.0,180.0 - 202.5,hoekvanholland,,,,,,,,,
301,-2.1999999999999997,-1.9999999999999998,1.0,180.0 - 202.5,hoekvanholland,,,,,,,,,
302,3.4000000000000004,3.6000000000000005,1.0,180.0 - 202.5,hoekvanholland,,,,,,,,,
303,,,,180.0 - 202.5,hoekvanholland,11.0,12.0,45.0,,,,,,
304,,,,180.0 - 202.5,hoekvanholland,7.0,8.0,24.0,,,,,,
305,,,,180.0 - 202.5,hoekvanholland,6.0,7.0,12.0,,,,,,
306,,,,180.0 - 202.5,hoekvanholland,16.0,17.0,84.0,,,,,,
307,,,,180.0 - 202.5,hoekvanholland,10.0,11.0,34.0,,,,,,
308,,,,180.0 - 202.5,hoekvanholland,19.0,20.0,65.0,,,,,,
309,,,,180.0 - 202.5,hoekvanholland,4.0,5.0,9.0,,,,,,
310,,,,180.0 - 202.5,hoekvanholland,12.0,13.0,52.0,,,,,,
311,,,,180.0 - 202.5,hoekvanholland,17.0,18.0,61.0,,,,,,
312,,,,180.0 - 202.5,hoekvanholland,18.0,19.0,74.0,,,,,,
313,,,,180.0 - 202.5,hoekvanholland,14.0,15.0,78.0,,,,,,
314,,,,180.0 - 202.5,hoekvanholland,13.0,14.0,64.0,,,,,,
315,,,,180.0 - 202.5,hoekvanholland,23.0,24.0,95.0,,,,,,
316,,,,180.0 - 202.5,hoekvanholland,15.0,16.0,80.0,,,,,,
317,,,,180.0 - 202.5,hoekvanholland,-24.0,-23.0,6.0,,,,,,
318,,,,180.0 - 202.5,hoekvanholland,5.0,6.0,13.0,,,,,,
319,,,,180.0 - 202.5,hoekvanholland,21.0,22.0,62.0,,,,,,
320,,,,180.0 - 202.5,hoekvanholland,20.0,21.0,76.0,,,,,,
321,,,,180.0 - 202.5,hoekvanholland,8.0,9.0,27.0,,,,,,
322,,,,180.0 - 202.5,hoekvanholland,9.0,10.0,31.0,,,,,,
323,,,,180.0 - 202.5,hoekvanholland,22.0,23.0,59.0,,,,,,
324,,,,180.0 - 202.5,hoekvanholland,-20.0,-19.0,3.0,,,,,,
